coordinate_id,policy_row,budget_FLOPs,context_tokens,quality_family,diagnostic_primary_candidate,supported_score_scenarios,supported_gain_scenarios,total_scenarios,score_min,score_max,gain_min,gain_max,gain_sign_robust_within_supported_grid,nominal_status,nominal_score,meaning
Gemma2 report,0,1e+19,2048,exponential,False,0,0,27,,,,,,N_out_of_support,,"hypothetical coordinate / upstream stress; reference is same N backbone, not an observed benchmark baseline"
Gemma2 report,1,1e+19,2048,power,False,0,0,27,,,,,,infeasible_or_missing_upstream,,"hypothetical coordinate / upstream stress; reference is same N backbone, not an observed benchmark baseline"
Gemma2 report,2,1e+19,2048,logarithmic,False,0,0,27,,,,,,N_out_of_support,,"hypothetical coordinate / upstream stress; reference is same N backbone, not an observed benchmark baseline"
Gemma2 report,3,1e+19,8192,exponential,False,0,0,27,,,,,,N_out_of_support,,"hypothetical coordinate / upstream stress; reference is same N backbone, not an observed benchmark baseline"
Gemma2 report,4,1e+19,8192,power,False,0,0,27,,,,,,infeasible_or_missing_upstream,,"hypothetical coordinate / upstream stress; reference is same N backbone, not an observed benchmark baseline"
Gemma2 report,5,1e+19,8192,logarithmic,False,0,0,27,,,,,,infeasible_or_missing_upstream,,"hypothetical coordinate / upstream stress; reference is same N backbone, not an observed benchmark baseline"
Gemma2 report,6,1e+19,131072,exponential,False,0,0,27,,,,,,infeasible_or_missing_upstream,,"hypothetical coordinate / upstream stress; reference is same N backbone, not an observed benchmark baseline"
Gemma2 report,7,1e+19,131072,power,False,0,0,27,,,,,,infeasible_or_missing_upstream,,"hypothetical coordinate / upstream stress; reference is same N backbone, not an observed benchmark baseline"
Gemma2 report,8,1e+19,131072,logarithmic,False,0,0,27,,,,,,infeasible_or_missing_upstream,,"hypothetical coordinate / upstream stress; reference is same N backbone, not an observed benchmark baseline"
Gemma2 report,9,1e+20,2048,exponential,False,0,0,27,,,,,,N_out_of_support,,"hypothetical coordinate / upstream stress; reference is same N backbone, not an observed benchmark baseline"
Gemma2 report,10,1e+20,2048,power,False,0,0,27,,,,,,N_out_of_support,,"hypothetical coordinate / upstream stress; reference is same N backbone, not an observed benchmark baseline"
Gemma2 report,11,1e+20,2048,logarithmic,False,0,0,27,,,,,,N_out_of_support,,"hypothetical coordinate / upstream stress; reference is same N backbone, not an observed benchmark baseline"
Gemma2 report,12,1e+20,8192,exponential,False,0,0,27,,,,,,N_out_of_support,,"hypothetical coordinate / upstream stress; reference is same N backbone, not an observed benchmark baseline"
Gemma2 report,13,1e+20,8192,power,False,0,0,27,,,,,,N_out_of_support,,"hypothetical coordinate / upstream stress; reference is same N backbone, not an observed benchmark baseline"
Gemma2 report,14,1e+20,8192,logarithmic,False,0,0,27,,,,,,N_out_of_support,,"hypothetical coordinate / upstream stress; reference is same N backbone, not an observed benchmark baseline"
Gemma2 report,15,1e+20,131072,exponential,False,0,0,27,,,,,,N_out_of_support,,"hypothetical coordinate / upstream stress; reference is same N backbone, not an observed benchmark baseline"
Gemma2 report,16,1e+20,131072,power,False,0,0,27,,,,,,N_out_of_support,,"hypothetical coordinate / upstream stress; reference is same N backbone, not an observed benchmark baseline"
Gemma2 report,17,1e+20,131072,logarithmic,False,0,0,27,,,,,,N_out_of_support,,"hypothetical coordinate / upstream stress; reference is same N backbone, not an observed benchmark baseline"
Gemma2 report,18,1e+22,2048,exponential,False,18,16,27,17.400862472079663,36.582824105316334,0.6589214984405629,5.9439490457850575,True,conditional_affine_coordinate_assumption,30.75250515399267,"hypothetical coordinate / upstream stress; reference is same N backbone, not an observed benchmark baseline"
Gemma2 report,19,1e+22,2048,power,False,18,16,27,17.379405887974716,36.554478321157575,0.66461107311898,5.948403618149101,True,conditional_affine_coordinate_assumption,30.723598081592623,"hypothetical coordinate / upstream stress; reference is same N backbone, not an observed benchmark baseline"
Gemma2 report,20,1e+22,2048,logarithmic,False,18,16,27,17.391948782984972,36.571050664931214,0.6612942999146831,5.945810659181067,True,conditional_affine_coordinate_assumption,30.7404978984303,"hypothetical coordinate / upstream stress; reference is same N backbone, not an observed benchmark baseline"
