target,scope,n_train,n_main_features,n_pairwise_features,selected_domains,alpha,cv_rmse,candidate_rmse,ridge_rmse,candidate_spearman,ridge_spearman
arxiv,test_1m,512,17,10,freelaw|arxiv|pubmed_central|github|pile_cc,0.01,0.6834471636768689,0.548122893875627,0.579151724741212,0.7857697699702447,0.7446111810482947
arxiv,test_60m,512,17,10,freelaw|arxiv|pubmed_central|github|pile_cc,0.01,0.6834471636768689,1.8034751236191848,1.8261852747263805,0.803983319981689,0.7622689688715952
arxiv,test_1B,512,17,10,freelaw|arxiv|pubmed_central|github|pile_cc,0.01,0.6834471636768689,2.8048014529832974,3.2078542621884507,0.9557234432234433,0.8646978021978022
freelaw,test_1m,512,17,10,freelaw|arxiv|pubmed_central|github|pile_cc,0.01,0.4227207714690313,0.42270796676748223,0.48107885457138616,0.8195031757839321,0.7696812771801326
freelaw,test_60m,512,17,10,freelaw|arxiv|pubmed_central|github|pile_cc,0.01,0.4227207714690313,1.4269563444787394,1.444969088493251,0.8132681963836117,0.7625479228656442
freelaw,test_1B,512,17,10,freelaw|arxiv|pubmed_central|github|pile_cc,0.01,0.4227207714690313,3.1218722194687176,3.368022043770035,0.8513736263736262,0.7066849816849816
pubmed_central,test_1m,512,17,10,freelaw|arxiv|pubmed_central|github|pile_cc,0.01,0.5476240682050719,0.4945105030573718,0.5294039174312016,0.851165169375143,0.8331418802929731
pubmed_central,test_60m,512,17,10,freelaw|arxiv|pubmed_central|github|pile_cc,0.01,0.5476240682050719,1.7376672101938413,1.7552288333094106,0.8684760528725106,0.8522781242847333
pubmed_central,test_1B,512,17,10,freelaw|arxiv|pubmed_central|github|pile_cc,0.01,0.5476240682050719,3.0232192630351564,3.388361886131875,0.9069597069597067,0.7995879120879119
wikipedia_en,test_1m,512,17,10,freelaw|arxiv|pubmed_central|github|pile_cc,0.1,0.2933173779045809,0.28955340664868556,0.2942936835422136,0.8862768940260928,0.8818250743877316
