dataset,stratum_type,stratum,rows,tokenizer,evaluation_corpus,loss_definition,unit,absolute_loss_comparable_to_B1,evidence_scope,allowed_current_use,note
B4,family,BLOOM,4,not_documented_in_local_attachment,not_documented_in_local_attachment,validation_cross_entropy_label_only,not_documented_in_local_attachment,not_established,visible_data_description_and_local_csv_only,source_stratified_descriptive_prediction_only,"Do not pool external RMSE until tokenizer, corpus, loss definition, and unit are evidenced."
B4,family,Cerebras-GPT,7,not_documented_in_local_attachment,not_documented_in_local_attachment,validation_cross_entropy_label_only,not_documented_in_local_attachment,not_established,visible_data_description_and_local_csv_only,source_stratified_descriptive_prediction_only,"Do not pool external RMSE until tokenizer, corpus, loss definition, and unit are evidenced."
B4,family,Falcon,2,not_documented_in_local_attachment,not_documented_in_local_attachment,validation_cross_entropy_label_only,not_documented_in_local_attachment,not_established,visible_data_description_and_local_csv_only,source_stratified_descriptive_prediction_only,"Do not pool external RMSE until tokenizer, corpus, loss definition, and unit are evidenced."
B4,family,GPT2,4,not_documented_in_local_attachment,not_documented_in_local_attachment,validation_cross_entropy_label_only,not_documented_in_local_attachment,not_established,visible_data_description_and_local_csv_only,source_stratified_descriptive_prediction_only,"Do not pool external RMSE until tokenizer, corpus, loss definition, and unit are evidenced."
B4,family,Gemma,3,not_documented_in_local_attachment,not_documented_in_local_attachment,validation_cross_entropy_label_only,not_documented_in_local_attachment,not_established,visible_data_description_and_local_csv_only,source_stratified_descriptive_prediction_only,"Do not pool external RMSE until tokenizer, corpus, loss definition, and unit are evidenced."
B4,family,LLaMA,6,not_documented_in_local_attachment,not_documented_in_local_attachment,validation_cross_entropy_label_only,not_documented_in_local_attachment,not_established,visible_data_description_and_local_csv_only,source_stratified_descriptive_prediction_only,"Do not pool external RMSE until tokenizer, corpus, loss definition, and unit are evidenced."
B4,family,Mistral,1,not_documented_in_local_attachment,not_documented_in_local_attachment,validation_cross_entropy_label_only,not_documented_in_local_attachment,not_established,visible_data_description_and_local_csv_only,source_stratified_descriptive_prediction_only,"Do not pool external RMSE until tokenizer, corpus, loss definition, and unit are evidenced."
B4,family,OPT,7,not_documented_in_local_attachment,not_documented_in_local_attachment,validation_cross_entropy_label_only,not_documented_in_local_attachment,not_established,visible_data_description_and_local_csv_only,source_stratified_descriptive_prediction_only,"Do not pool external RMSE until tokenizer, corpus, loss definition, and unit are evidenced."
B4,family,Phi,6,not_documented_in_local_attachment,not_documented_in_local_attachment,validation_cross_entropy_label_only,not_documented_in_local_attachment,not_established,visible_data_description_and_local_csv_only,source_stratified_descriptive_prediction_only,"Do not pool external RMSE until tokenizer, corpus, loss definition, and unit are evidenced."
B4,family,Pythia,8,not_documented_in_local_attachment,not_documented_in_local_attachment,validation_cross_entropy_label_only,not_documented_in_local_attachment,not_established,visible_data_description_and_local_csv_only,source_stratified_descriptive_prediction_only,"Do not pool external RMSE until tokenizer, corpus, loss definition, and unit are evidenced."
B4,family,Qwen2,7,not_documented_in_local_attachment,not_documented_in_local_attachment,validation_cross_entropy_label_only,not_documented_in_local_attachment,not_established,visible_data_description_and_local_csv_only,source_stratified_descriptive_prediction_only,"Do not pool external RMSE until tokenizer, corpus, loss definition, and unit are evidenced."
B4,family,Yi,2,not_documented_in_local_attachment,not_documented_in_local_attachment,validation_cross_entropy_label_only,not_documented_in_local_attachment,not_established,visible_data_description_and_local_csv_only,source_stratified_descriptive_prediction_only,"Do not pool external RMSE until tokenizer, corpus, loss definition, and unit are evidenced."
B5,source,Chowdhery et al. 2022,3,not_documented_in_local_attachment,not_documented_in_local_attachment,validation_cross_entropy_label_only,not_documented_in_local_attachment,not_established,visible_data_description_and_local_csv_only,source_stratified_descriptive_prediction_only,"Do not pool external RMSE until tokenizer, corpus, loss definition, and unit are evidenced."
B5,source,Hoffmann et al. 2022,16,not_documented_in_local_attachment,not_documented_in_local_attachment,validation_cross_entropy_label_only,not_documented_in_local_attachment,not_established,visible_data_description_and_local_csv_only,source_stratified_descriptive_prediction_only,"Do not pool external RMSE until tokenizer, corpus, loss definition, and unit are evidenced."
B5,source,Kaplan et al. 2020,9,not_documented_in_local_attachment,not_documented_in_local_attachment,validation_cross_entropy_label_only,not_documented_in_local_attachment,not_established,visible_data_description_and_local_csv_only,source_stratified_descriptive_prediction_only,"Do not pool external RMSE until tokenizer, corpus, loss definition, and unit are evidenced."
B5,source,Scao et al. 2022,4,not_documented_in_local_attachment,not_documented_in_local_attachment,validation_cross_entropy_label_only,not_documented_in_local_attachment,not_established,visible_data_description_and_local_csv_only,source_stratified_descriptive_prediction_only,"Do not pool external RMSE until tokenizer, corpus, loss definition, and unit are evidenced."
B5,source,Touvron et al. 2023,7,not_documented_in_local_attachment,not_documented_in_local_attachment,validation_cross_entropy_label_only,not_documented_in_local_attachment,not_established,visible_data_description_and_local_csv_only,source_stratified_descriptive_prediction_only,"Do not pool external RMSE until tokenizer, corpus, loss definition, and unit are evidenced."
B5,source,Zhang et al. 2022,5,not_documented_in_local_attachment,not_documented_in_local_attachment,validation_cross_entropy_label_only,not_documented_in_local_attachment,not_established,visible_data_description_and_local_csv_only,source_stratified_descriptive_prediction_only,"Do not pool external RMSE until tokenizer, corpus, loss definition, and unit are evidenced."
