source_row,Model,Domain,Task,Publication date,Parameters,Parameters notes,Training compute (FLOP),Training compute notes,Training dataset size (total),Dataset size notes,Training compute estimation method,Confidence,Base model,Open model weights?,exclusion_reasons,candidate,primary,loose_ratio,C_over_6ND,date,N,C,D
2568,mT5-XXL,Language,"Language modeling,Translation,Language modeling/generation,Question answering",2020-10-20,13000000000.0,13 billion,8.2e+22,"""We pre-train our mT5 model variants for 1 million steps on batches of 1024 length-1024 input sequences, corresponding to roughly 1 trillion input tokens total.""

1 million steps * 1024 batchsize * 1024 length * 13 billion params * 6 = 8.2e22

Ignores fine-tuning compute; this is likely a small fraction of pre-training compute.",1000000000000,"The model was trained on a subset of 1 trillion tokens.
Full mC4 corpus has data ""totaling 6.6B pages and 6.3T tokens""
Distribution by language is in Appendix A.",Operation counting,Confident,,Yes,,True,True,True,1.051282051282051,2020-10-20 00:00:00+00:00,13000000000.0,8.2e+22,1000000000000.0
2479,GPT-Neo-2.7B,Language,"Language modeling/generation,Question answering",2021-03-21,2700000000.0,"source: https://www.eleuther.ai/projects/gpt-neo/

Note: Directory of LLMs (https://docs.google.com/spreadsheets/d/1gc6yse74XCwBx028HV_cvdxwXkmXejVjkO-Mz2uwE0k/edit#gid=0) gives a somewhat lower estimate (2e9)",7.9e+21,"source: https://www.aitracker.org/

6 FLOP / token / parameter * 2.7 * 10^9 parameters * 420000000000 tokens [see dataset size notes] = 6.804e+21 FLOP",420000000000,"""In aggregate, the Pile consists of over 825GiB of raw text data""

(see GPT-NeoX)

""This model was trained for 420 billion tokens over 400,000 steps. It was trained as a masked autoregressive language model, using cross-entropy loss.""

https://huggingface.co/EleutherAI/gpt-neo-2.7B","Third-party estimation,Operation counting",Confident,,Yes,,True,True,True,1.1610817166372722,2021-03-21 00:00:00+00:00,2700000000.0,7.9e+21,420000000000.0
2395,PLATO-XL,Language,Language modeling,2021-09-20,11000000000.0,,9.9e+21,"""In PLATO-XL, each model was trained for a total of 150B tokens, with
a batch size of 2M tokens.""

150B * 11B * 6 = 9.9e21",150000000000,"""In PLATO-XL, each model was trained for a total of 150B tokens, with
a batch size of 2M tokens.""
811M English and 1.2B Chinese (context, response) samples. So if the average response is at least 75 tokens, the 150B tokens seen in training don't include repeat tokens. This seems plausible.",Operation counting,Confident,,Yes,,True,True,True,1.0,2021-09-20 00:00:00+00:00,11000000000.0,9.9e+21,150000000000.0
2333,XGLM-7.5B,Language,"Translation,Question answering,Language modeling/generation",2021-12-20,7500000000.0,"""Our largest model with 7.5 billion parameters sets new state of the art""",2.25e+22,"""The XGLM 7.5B model was trained on 256 A100 GPUs for about 3 weeks, at a speed of 311.6k words per second""

256 * 312 teraFLOP/s * 21 * 24 * 3600 * 0.3 utilization assumption ~= 4.3e22

also, it was trained for 500B tokens. Using Compute = 6ND, we have
6 * 500B * 7.5B = 2.25e22

311k tokens per second * 7.5B params * 6 is 1.35e16 FLOP/s. divide that by 312 teraFLOP/s, which is A100 peak compute, gets 43, suggesting low utilization (17%) of the 256-GPU cluster, or somewhat higher if there's more than one token per word. So I'll use the 6ND number.",500000000000,"Training Data. Our models are trained on a static multilingual corpus extracted from CommonCrawl, with English text comprising 32.6% of the total number of tokens corresponding to 163B tokens.
163B / 0.326 = 500B total

Note that this dataset is sampled from the much larger CC100-XL, outlined in Appendix F and here: https://huggingface.co/facebook/xglm-7.5B#training-data-statistics

The huggingface link sums to 1.64T tokens, while the Data Card in the appendix claims 1.9T tokens.","Operation counting,Hardware",Confident,,Yes,,True,True,True,1.0,2021-12-20 00:00:00+00:00,7500000000.0,2.25e+22,500000000000.0
2299,PolyCoder,Language,Code generation,2022-02-26,2700000000.0,2.7B for largest model,1.1e+21,"""We use GPT-NeoX toolkit 11 to
train the model efficiently in parallel with 8 Nvidia RTX 8000 GPUs on a single machine. The wall
time used to train the largest 2.7B model is about 6 weeks""

8 * 130 TFLOP/s * 6 * 7 * 24 * 3600 * 0.3 (utilization) ~= 1.1e21",39300000000,"249GB

They trained on 39B tokens per Table 3, but I'm not sure how many epochs that is. May be <1.",Hardware,Likely,,Yes,,True,True,True,1.7277667828982501,2022-02-26 00:00:00+00:00,2700000000.0,1.1e+21,39300000000.0
2259,UL2,Language,"Language modeling/generation,Question answering,Text summarization",2022-05-10,20000000000.0,Taken from Directory of LLMs,1.2e+23,"Trained on 1T tokens
20B * 1T * 6 = 1.2e23

Second source: Section 5.1 says model was trained on 512 TPUv4 chips, and took slightly over 1 month
512 * 2.75e14 * 31 * 24 * 3600 * 0.3 = 1.13e23",1000000000000,1T tokens,"Hardware,Operation counting",Confident,,Yes,,True,True,True,1.0,2022-05-10 00:00:00+00:00,20000000000.0,1.2e+23,1000000000000.0
2229,OPT-6.7B,Language,"Language modeling,Chat,Language modeling/generation,Question answering",2022-06-21,6700000000.0,,1.2060000000001e+22,"https://www.wolframalpha.com/input?i=6+FLOP+*+6.7+billion+*+300+billion

4.3e+23 (175B exact compute) * 6.7B/175B = 1.6462857e+22",180000000000,"""How many instances are there in total (of each type, if appropriate)? The training data contains 180B tokens corresponding to 800 GB of data.""",Comparison with other models,Confident,,Yes,,True,True,True,1.6666666666668049,2022-06-21 00:00:00+00:00,6700000000.0,1.2060000000001e+22,180000000000.0
2230,OPT-66B,Language,"Language modeling,Chat,Language modeling/generation,Question answering",2022-06-21,66000000000.0,,1.100000000001e+23,"OPT-66B was trained for 140k steps, using a batch size of 2M tokens (see the OPT baselines logbook and Table 1 in Zhang et al. (2022), respectively), so training took 140e3 ∗ 2e6 ∗ 66e9 ∗ 6 = 1.1e23 FLOP",180000000000,"""Our final corpus contains roughly 180B tokens.""",Operation counting,Confident,,Yes,,True,True,True,1.5432098765446127,2022-06-21 00:00:00+00:00,66000000000.0,1.100000000001e+23,180000000000.0
2234,OPT-30B,Language,"Language modeling,Chat,Language modeling/generation,Question answering",2022-06-21,30000000000.0,,5.4000000000001e+22,https://www.wolframalpha.com/input?i=6+FLOP+*+30+billion+*+300+billion,180000000000,"""Our final corpus contains roughly 180B tokens.""",Operation counting,Confident,,Yes,,True,True,True,1.6666666666666976,2022-06-21 00:00:00+00:00,30000000000.0,5.4000000000001e+22,180000000000.0
2223,CodeGeeX,Language,Code generation,2022-06-22,13000000000.0,"""We introduce CodeGeeX, a large-scale multilingual code generation model with 13 billion parameters""",6.630000000001e+22,"Assume 1 epoch on 850B tokens.
C=6DN=6*850B*13B
https://www.wolframalpha.com/input?i=6+*+13+billion+*+850+billion",850000000000,"As of June 22, 2022, CodeGeeX has been trained on more than 850 billion tokens",Operation counting,Confident,,Yes,,True,True,True,1.0000000000001508,2022-06-22 00:00:00+00:00,13000000000.0,6.630000000001e+22,850000000000.0
2207,BLOOM-7.1B,Language,"Language modeling/generation,Translation",2022-07-05,7070000000.0,,1.5014556e+22,6 FLOP / token / parameter * 7070000000 parameters * 354000000000 tokens = 1.501668 × 10^22 FLOP,354000000000,"Table 3 https://arxiv.org/pdf/2211.05100

341B (pretrain) + 13B (finetune) = 354B  tokens total",Operation counting,Confident,,Yes,,True,True,True,0.9998585572843,2022-07-05 00:00:00+00:00,7070000000.0,1.5014556e+22,354000000000.0
2205,BLOOM-176B,Language,"Language modeling,Translation,Code generation",2022-07-11,176247271424.0,"See ""Technical Specifications"" on Hugging Face:
https://huggingface.co/bigscience/bloom",3.65664e+23,"https://bigscience.huggingface.co/blog/bloom Blog post says 117 days.

384 A100 GPUs * 314 TFLOPS throughput per GPU * 117 days * 0.3 (utilization assumption) = 3.65664e23
https://www.wolframalpha.com/input?i=384+*+314+TFLOPS+*+117+days+*+0.3",379000000000,"Table 3.5 https://arxiv.org/pdf/2211.05100

366B (pretrain) + 13B (finetune) = 379B  tokens total",Hardware,Confident,,Yes,,True,True,True,0.9123665264076545,2022-07-11 00:00:00+00:00,176247271424.0,3.65664e+23,379000000000.0
2093,Hybrid H3-2.7B,Language,"Language modeling/generation,Question answering",2022-12-28,2700000000.0,2.7B,6.48e+21,"6 FLOP/token/parameter * 400000000000 training tokens * 2700000000 parameters = 6.48e+21 FLOP

___________________
in the algorithmic progress paper the estimation was 8.49 × 10^20 based on the assumption of WT-103 dataset and 509 epochs",400000000000,"""We train hybrid models at sizes 125M, 355M, 1.3B, and 2.7B on the Pile [21] for 400B tokens""",Operation counting,Likely,,Yes,,True,True,True,1.0,2022-12-28 00:00:00+00:00,2700000000.0,6.48e+21,400000000000.0
2050,Hyena-2 153M,Language,Language modeling/generation,2023-02-21,153000000.0,,1.87e+19,"Table 3: 1.87*10^19 FLOP

6 FLOP / parameter / token * 153 * 10^6 parameters * 15 * 10^9 tokens = 1.377e+19 FLOP",15000000000,Trained for 15B tokens on The Pile,"Reported,Operation counting",Confident,,Yes,,True,True,True,1.3580246913580247,2023-02-21 00:00:00+00:00,153000000.0,1.87e+19,15000000000.0
2045,LLaMA-65B,Language,"Language modeling,Code generation",2023-02-24,65200000000.0,"Model card, table 1: https://github.com/facebookresearch/llama/blob/53011c3d7946dadb8274a4c5c7586ab54edf792d/MODEL_CARD.md",5.5e+23,1.4e12 tokens * 6.52e10 parameters * 6 FLOP/token/parameter = 5.5e23 FLOP,1400000000000,"Table 1 indicates that 1.4T tokens involved sampling sub-datasets at more or less than one epoch. Correcting for this:

(1.1 epoch * 3.3TB) + (1.06 epoch * 0.783TB) + ... = 1.4T tokens
5.24 epoch-TBs = 1.4T tokens
5.24 epoch-TB * 1000 GB/TB * 200M token/GB = 1.4T tokens
1.05T epoch*token = 1.4T tokens
1 epoch = 1.34T tokens",Operation counting,Confident,,Yes,,True,True,True,1.0042360502483203,2023-02-24 00:00:00+00:00,65200000000.0,5.5e+23,1400000000000.0
2043,LLaMA-33B,Language,"Language modeling,Code generation,Language modeling/generation,Question answering",2023-02-27,32500000000.0,Table 2 in the paper,2.7300000000001e+23,1.4T tokens * 32.5B params * 6 FLOP/token/param = 2.73e+23 FLOP,1400000000000,"Table 1 indicates that 1.4T tokens involved sampling sub-datasets at more or less than one epoch. Correcting for this:

(1.1 epoch * 3.3TB) + (1.06 epoch * 0.783TB) + ... = 1.4T tokens
5.24 epoch-TBs = 1.4T tokens
5.24 epoch-TB * 1000 GB/TB * 200M token/GB = 1.4T tokens
1.05T epoch*token = 1.4T tokens
1 epoch = 1.34T tokens",Operation counting,Confident,,Yes,,True,True,True,1.0000000000000366,2023-02-27 00:00:00+00:00,32500000000.0,2.7300000000001e+23,1400000000000.0
1992,Pythia-12b,Language,"Language modeling/generation,Question answering",2023-04-03,12000000000.0,See Table 1 for non-embedding parameters,2.1590000000001e+22,https://www.wolframalpha.com/input?i=6+FLOP+*+12+billion+*+299892736000,299892736000,"""We train all models for 299,892,736,000 ≈ 300B tokens""",Operation counting,Confident,,Yes,,True,True,True,0.9998945459990235,2023-04-03 00:00:00+00:00,12000000000.0,2.1590000000001e+22,299892736000.0
1993,Pythia-2.8b,Language,"Language modeling/generation,Question answering",2023-04-03,2800000000.0,See Table 1 for non-embedding parameters,5.038000000001e+21,https://www.wolframalpha.com/input?i=6+FLOP+*+2.8+billion+*+299892736000,299892736000,"""We train all models for 299,892,736,000 ≈ 300B tokens""",Operation counting,Confident,,Yes,,True,True,True,0.9999607072210375,2023-04-03 00:00:00+00:00,2800000000.0,5.038000000001e+21,299892736000.0
1994,Pythia-6.9b,Language,"Language modeling/generation,Question answering",2023-04-03,6900000000.0,See Table 1 for non-embedding parameters,1.2420000000001e+22,https://www.wolframalpha.com/input?i=6+FLOP+*+6.9+billion+*+299892736000,299892736000,The Pile contains 300B tokens,Operation counting,Confident,,Yes,,True,True,True,1.000357674552091,2023-04-03 00:00:00+00:00,6900000000.0,1.2420000000001e+22,299892736000.0
1995,Pythia-160m,Language,"Language modeling/generation,Question answering",2023-04-03,160000000.0,See Table 1 for non-embedding parameters,2.87900000001e+20,"https://www.wolframalpha.com/input?i=6+FLOP+*+160+million+*+299892736000

Table 5 gives confirmation:
1030 GPU-hours * 3600 sec/hr * 3.12e14 FLOP/sec * 0.3 (utilization assumption) = 3.5e20",299892736000,"""We train all models for 299,892,736,000 ≈ 300B tokens""","Operation counting,Hardware",Confident,,Yes,,True,True,True,1.000010328140709,2023-04-03 00:00:00+00:00,160000000.0,2.87900000001e+20,299892736000.0
1996,Pythia-1b,Language,"Language modeling/generation,Question answering",2023-04-03,1000000000.0,See Table 1 for non-embedding parameters,1.799000000001e+21,https://www.wolframalpha.com/input?i=6+FLOP+*+1+billion+*+299892736000,299892736000,"""We train all models for 299,892,736,000 ≈ 300B tokens""",Operation counting,Confident,,Yes,,True,True,True,0.9998019202889262,2023-04-03 00:00:00+00:00,1000000000.0,1.799000000001e+21,299892736000.0
1997,Pythia-1.4b,Language,"Language modeling/generation,Question answering",2023-04-03,1400000000.0,See Table 1 for non-embedding parameters,2.5190000000001e+21,https://www.wolframalpha.com/input?i=6+FLOP+*+1.4+billion+*+299892736000,299892736000,"""We train all models for 299,892,736,000 ≈ 300B tokens""",Operation counting,Confident,,Yes,,True,True,True,0.9999607072208787,2023-04-03 00:00:00+00:00,1400000000.0,2.5190000000001e+21,299892736000.0
1998,Pythia-70m,Language,"Language modeling/generation,Question answering",2023-04-03,70000000.0,See Table 1 for non-embedding parameters,1.26000000001e+20,https://www.wolframalpha.com/input?i=6+FLOP+*+70+million+*+299892736000,299892736000,"""We train all models for 299,892,736,000 ≈ 300B tokens""",Operation counting,Confident,,Yes,,True,True,True,1.0003576745599498,2023-04-03 00:00:00+00:00,70000000.0,1.26000000001e+20,299892736000.0
1999,Pythia-410m,Language,"Language modeling/generation,Question answering",2023-04-03,410000000.0,See Table 1 for non-embedding parameters,7.37700000001e+20,https://www.wolframalpha.com/input?i=6+FLOP+*+410+million+*+299892736000,299892736000,"""We train all models for 299,892,736,000 ≈ 300B tokens""",Operation counting,Confident,,Yes,,True,True,True,0.9999510250921659,2023-04-03 00:00:00+00:00,410000000.0,7.37700000001e+20,299892736000.0
1887,MPT-30B,Language,"Language generation,Code generation",2023-06-22,30000000000.0,30B,1.8900000000001e+23,"According to their blog post,
""MPT-30B FLOPs ~= 6 * 30e9 [params] * 1.05e12 [tokens] = 1.89e23 FLOPs""",1050000000000,"~4T tokens across sources, but only trained on 1.05T of these",Operation counting,Confident,,Yes,,True,True,True,1.0000000000000528,2023-06-22 00:00:00+00:00,30000000000.0,1.8900000000001e+23,1050000000000.0
1827,StableLM-Base-Alpha-7B,Language,Language modeling,2023-08-05,6890209280.0,,4.5e+22,"""StableLM-Base-Alpha-7B-v2 is pre-trained using a multi-stage context length extension schedule following similar work (Nijkamp et al. 2023); first pre-training at a context length of 2048 for 1 trillion tokens, then fine-tuning at a context length of 4096 for another 100B tokens""

6890209280 params * 1.1 trillion tokens * 6 = 4.5e22

alternatively: ""StableLM-Base-Alpha-7B-v2 was trained on the Stability AI cluster - occupying 384 NVIDIA A100 40GB GPUs across AWS P4d instances. Training took approximately 16.33 days to complete across both stages.""

312 teraflops * 384 * 16.33 * 24 * 3600 * 0.3 = 5.07e22",1100000000000,1 trillion tokens,Operation counting,Confident,,Yes,,True,True,True,0.9895464043411201,2023-08-05 00:00:00+00:00,6890209280.0,4.5e+22,1100000000000.0
1822,Japanese StableLM Base Alpha 7B,Language,"Language modeling/generation,Translation",2023-08-10,7000000000.0,7B,3.15e+22,"7b params, 750b tokens
7b * 750b * 6 = 3.15e22",750000000000,750B tokens,Operation counting,Confident,,Yes,,True,True,True,1.0,2023-08-10 00:00:00+00:00,7000000000.0,3.15e+22,750000000000.0
1813,DeciCoder-1B,Language,Code generation,2023-08-15,1100000000.0,"1.1B, per model card https://huggingface.co/Deci/DeciCoder-1b",2.9e+21,446b * 1.1b * 6 = 2.9e21,446000000000,Total Tokens: 446B,Operation counting,Confident,,Yes,,True,True,True,0.9851882049191466,2023-08-15 00:00:00+00:00,1100000000.0,2.9e+21,446000000000.0
1791,Refact-1.6B,Language,Language modeling/generation,2023-08-29,1600000000.0,1.6B,1.152e+22,"6ND = 6 * 1.6B * 1.2T = 11520000000000000000000 = 1.152e22
citation ""model trained for 1.2T tokens. ""
alternative
flops = (64) * (27770 * 10**9) * (28 * 24 * 3600) * (0.3) = 1.2898787328e+21
(num gpu) * (peak flops) * (time in seconds) * (assumed utilization rate)
Precision: bfloat16
GPUs 64 NVidia A5000
Training time 28 days
27.77 TFLOPS - peak flop from https://www.techpowerup.com/gpu-specs/rtx-a5000.c3748",1200000000000,"1.2T from ""The text to code proportion was 50:50, model trained for 1.2T tokens. ""","Operation counting,Hardware",Likely,,Yes,,True,True,True,1.0,2023-08-29 00:00:00+00:00,1600000000.0,1.152e+22,1200000000000.0
1780,XGen-7B,Language,Language generation,2023-09-07,6700000000.0,"I think this suggests the same number of params as Llama-7b. In any case ~7B.
""The model architecture follows LLaMA with exact numerical compatibility to ease adoption in third-party frameworks. The hyperparameters closely follow LLaMA-7B [34] with the following alterations""",8.02e+22,"270,336 TPUv4-hours per the carbon emissions section. They must mean chip-hours, not core-hours, because they multiply by 192W, which is the max power consumption of a TPU-v4 chip.

https://cloud.google.com/tpu/docs/system-architecture-tpu-vm#tpu_v4

This is probably the total for the whole paper? They released two versions of the base model, one of which is just trained further than the other, and they have two fine-tuned versions. If fine-tuning compute is minor, then this total is close to the largest training compute for any single model in the paper.

270336 * 275 teraflop/s * 3600 * 0.3 = 8.02e22 FLOP

also, using 6ND:

1484 billion tokens * 6.7 billion * 6 = 5.97e22",1429520000000,1484B tokens per Table 2,"Hardware,Operation counting",Confident,,Yes,,True,True,True,1.3955907406835095,2023-09-07 00:00:00+00:00,6700000000.0,8.02e+22,1429520000000.0
1766,BTLM-3B,Language,"Language generation,Code generation",2023-09-20,2600000000.0,"2.6B, per paper",9.8e+21,2.6b params * 627b tokens * 6 = 9.8e21,627000000000,"""To bolster BTLM’s performance, we create a high quality 627B token dataset called SlimPajama""",Operation counting,Confident,,Yes,,True,True,True,1.0019220545536336,2023-09-20 00:00:00+00:00,2600000000.0,9.8e+21,627000000000.0
1754,Qwen-14B,Language,Language modeling/generation,2023-09-28,14000000000.0,14B,2.5e+23,"3T tokens per Table 1

14B*3T*6 = 2.5e23",3000000000000,"""We have pretrained the language models, namely QWEN, on massive datasets containing trillions of tokens""
Table 1 indicates 3T tokens for Qwen-14B, and the above quote suggests the 3T aren't from multiple epochs on a smaller dataset.",Operation counting,Confident,,Yes,,True,True,True,0.992063492063492,2023-09-28 00:00:00+00:00,14000000000.0,2.5e+23,3000000000000.0
