source,n,grade,loss_min,loss_max,N_min_B,N_max_B,a,bLoss,loocv_rmse,constant_loocv_rmse
BLOOM paper,1,medium,2.35,2.35,7.069,7.069,,,,
"DeepSeek LLM Technical Report (DeepSeek-AI, 2023), validation loss",1,medium,2.15,2.15,7.0,7.0,,,,
Falcon technical report,2,medium,2.05,2.25,7.0,40.0,,,,
"Falcon technical report (TII, 2023), validation loss",2,medium,2.05,2.25,7.0,40.0,,,,
GPT-NeoX paper,1,medium,1.9,1.9,20.739,20.739,,,,
"Gemma 2 Technical Report (Google, 2024), final loss",3,medium,1.95,2.39,2.614,27.227,,,,
"Gemma Technical Report (Google, 2024), final loss",3,medium,2.2,2.5,2.506,8.538,,,,
Gemma report,1,medium,2.24,2.24,8.538,8.538,,,,
Gemma2 report,4,medium,1.95,2.39,2.614,27.227,4.224902351295039,-2.421021709371035,3.4143947735299864,11.543004719215416
"LLaMA 2 paper (Touvron et al., 2023), training loss",2,medium,1.65,1.7,13.016,68.977,,,,
"LLaMA 2 paper (Touvron et al., 2023), training loss at convergence",1,medium,1.75,1.75,6.738,6.738,,,,
"LLaMA 3 Technical Report (Meta, 2024), training loss at convergence",2,medium,1.71,1.76,8.03,70.554,,,,
"LLaMA 3.1 Technical Report (Meta, 2024), training loss",1,medium,1.76,1.76,8.03,8.03,,,,
Llama3 technical report,2,medium,1.71,1.76,8.03,70.554,,,,
"Mistral 7B model card (Mistral AI, 2024)",1,medium,2.1,2.1,7.242,7.242,,,,
"Mistral 7B technical report (Mistral AI, 2023), validation loss",1,medium,2.1,2.1,7.242,7.242,,,,
"Mixtral technical report (Mistral AI, 2023), validation loss",1,medium,1.9,1.9,46.703,46.703,,,,
"OPT paper (Zhang et al., 2022), Pile validation loss",1,medium,2.75,2.75,1.3,1.3,,,,
Phi-1.5 paper,1,medium,2.32,2.32,1.418,1.418,,,,
"Phi-1.5 paper (Microsoft, 2023), training loss",1,medium,2.32,2.32,1.418,1.418,,,,
"Phi-2 model card (Microsoft, 2023), training loss",1,medium,2.39,2.39,2.78,2.78,,,,
"Phi-3 Technical Report (Microsoft, 2024), training loss",3,medium,1.95,2.15,3.821,13.96,,,,
"Pythia training log (Attachment B, final checkpoint D=299.9B tokens)",7,high,2.0933,2.5978,0.162405,11.965825,-2.4416798773594293,-0.16387576899022435,0.5379696853398879,0.42558721239332864
Qwen2 MoE report,1,medium,1.9,1.9,57.409,57.409,,,,
"Qwen2 Technical Report (Alibaba, 2024), validation loss",4,medium,1.9,2.84,0.494,57.409,2.2309938670901217,-1.6592488031689454,7.0475440184535865,10.708269938224815
Qwen2 report,3,medium,2.2,2.84,0.494,7.616,,,,
"Qwen2.5 Technical Report (Alibaba, 2024), validation loss",6,medium,1.85,2.81,0.5,72.706,3.801774132983589,-2.2497936896953785,2.655323563077578,15.074496783167412
Qwen2.5 report,8,medium,1.85,2.81,0.494,72.706,4.0849538953313385,-2.201413962219859,1.9352491818218642,14.936712764172068
"Yi Technical Report (01.AI, 2023), training loss",2,medium,1.9,2.1,6.061,34.389,,,,
Yi technical report,4,medium,1.9,2.1,6.061,34.389,,,,
Yi-1.5 report,4,medium,1.95,1.95,34.389,34.389,,,,
