target,spearman,pearson,n,pair
arxiv,0.9948343442435337,0.9882356701230786,256,test_1m_vs_test_60m
freelaw,0.9980466067750055,0.9977193545137671,256,test_1m_vs_test_60m
pubmed_central,0.9943400949874113,0.9904071907290835,256,test_1m_vs_test_60m
wikipedia_en,0.9974221789883265,0.9977812874393985,256,test_1m_vs_test_60m
dm_mathematics,0.9882925154497594,0.9854667416057288,256,test_1m_vs_test_60m
github,0.9928745136186768,0.9839846000758362,256,test_1m_vs_test_60m
stackexchange,0.9978041313801784,0.9941705952257941,256,test_1m_vs_test_60m
gutenberg_pg_19,0.9944058995193406,0.9931819944570736,256,test_1m_vs_test_60m
pile_cc,0.9940983348592354,0.9936666117111989,256,test_1m_vs_test_60m
ubuntu_irc,0.9800898374914165,0.9828519755041927,256,test_1m_vs_test_60m
hackernews,0.9939860379949643,0.9931972468788884,256,test_1m_vs_test_60m
pubmed_abstracts,0.9978062771801327,0.9975460115357753,256,test_1m_vs_test_60m
uspto_backgrounds,0.9946111810482946,0.9958408871519726,256,test_1m_vs_test_60m
arxiv,0.9916474654377881,0.9910830684350546,63,est_10B_vs_est_70B
freelaw,0.9906874039938558,0.995371771750656,63,est_10B_vs_est_70B
pubmed_central,0.9826228878648233,0.9894287383720934,63,est_10B_vs_est_70B
wikipedia_en,0.991431246235226,0.9944833636630823,63,est_10B_vs_est_70B
dm_mathematics,0.9964957757296466,0.9978902972565294,63,est_10B_vs_est_70B
github,0.9829589093701998,0.9880946803512036,63,est_10B_vs_est_70B
stackexchange,0.9754458392338525,0.9789543773001915,63,est_10B_vs_est_70B
gutenberg_pg_19,0.9917434715821811,0.9942026749437476,63,est_10B_vs_est_70B
pile_cc,0.9949116743471582,0.9970571995099461,63,est_10B_vs_est_70B
ubuntu_irc,0.9814105872753,0.9892211496813521,63,est_10B_vs_est_70B
hackernews,0.98963133640553,0.9930440732827077,63,est_10B_vs_est_70B
pubmed_abstracts,0.9867031490015362,0.9937177723260852,63,est_10B_vs_est_70B
uspto_backgrounds,0.9944674468162903,0.9944737066249018,63,est_10B_vs_est_70B
