target,split,full_rmse,no_mixture_rmse,rmse_gain,full_spearman
arxiv,test_1m,0.5791517247412119,0.7968727338169289,0.217721009075717,0.7446111810482947
freelaw,test_1m,0.48107885457138616,0.7377561889376495,0.25667733436626333,0.7696812771801326
pubmed_central,test_1m,0.5294039174312016,0.840775879515865,0.31137196208466333,0.8331418802929731
wikipedia_en,test_1m,0.2942936835422136,0.5463924616676074,0.2520987781253938,0.8818250743877316
dm_mathematics,test_1m,1.158720460894497,1.5392828252360697,0.38056236434157276,0.7674668116273746
github,test_1m,0.6119728112520411,0.9439876197741489,0.33201480852210785,0.838052901121538
stackexchange,test_1m,0.44775249504606207,0.6759335543748375,0.22818105932877542,0.819406614785992
gutenberg_pg_19,test_1m,0.2582268568762293,0.4489563088982346,0.1907294520220053,0.8892974650949874
pile_cc,test_1m,0.1538964608442595,0.32055026128181696,0.16665380043755745,0.9007345788509955
ubuntu_irc,test_1m,0.6505137539938817,0.9994356224413369,0.3489218684474552,0.7632639047837033
hackernews,test_1m,0.19011172175825375,0.33655534905631884,0.1464436272980651,0.8437550068665597
pubmed_abstracts,test_1m,0.262821817152922,0.5708445416742268,0.3080227245213048,0.9226625085831998
uspto_backgrounds,test_1m,0.2708118645722819,0.5103829885899198,0.23957112401763792,0.8521000228885328
arxiv,test_60m,1.8261852747263803,1.8487458476139358,0.02256057288755553,0.7622689688715952
freelaw,test_60m,1.4449690884932511,1.4594893975006749,0.014520309007423737,0.7625479228656442
pubmed_central,test_60m,1.7552288333094106,1.8416701067666583,0.08644127345724772,0.8522781242847333
wikipedia_en,test_60m,1.3704447211707218,1.4375615964170687,0.06711687524634691,0.8834737640192262
dm_mathematics,test_60m,1.5581854773788024,1.6281960732152652,0.07001059583646274,0.7521164740215153
github,test_60m,2.634377819388772,2.7329355617369973,0.09855774234822512,0.8406700617990385
stackexchange,test_60m,1.7650636811735239,1.8356952098731887,0.07063152869966483,0.818485351338979
gutenberg_pg_19,test_60m,1.011357088697703,1.0578906742377852,0.046533585540082134,0.8938508525978485
pile_cc,test_60m,1.0788553401298977,1.1045213840380566,0.025666043908158853,0.8918996051728083
ubuntu_irc,test_60m,2.0373596215892156,2.1103503451899543,0.07299072360073877,0.7603742275120163
hackernews,test_60m,1.0090733189537513,1.0364775891039528,0.027404270150201526,0.8381151293202105
pubmed_abstracts,test_60m,1.3746992925794161,1.4723713921075177,0.09767209952810152,0.9201640821698327
uspto_backgrounds,test_60m,1.42185948538041,1.4593498779291232,0.037490392548713114,0.831399490730144
arxiv,test_1B,3.2078542621884507,3.251366252165028,0.04351198997657724,0.8646978021978022
freelaw,test_1B,3.3680220437700354,3.3031567466700396,-0.06486529709999589,0.7066849816849816
pubmed_central,test_1B,3.388361886131875,3.415188666892625,0.026826780760749624,0.7995879120879119
wikipedia_en,test_1B,3.3032654473314786,3.3059488221872013,0.0026833748557226755,0.8384615384615383
dm_mathematics,test_1B,2.665456736794217,2.361461370479928,-0.30399536631428914,0.6868131868131867
github,test_1B,4.439418262274766,4.2256936247133385,-0.21372463756142768,0.6721153846153846
stackexchange,test_1B,3.544596343714017,3.392127834697166,-0.15246850901685116,0.7323260073260072
gutenberg_pg_19,test_1B,2.6693016728841483,2.643975708225561,-0.025325964658587274,0.6536630036630036
pile_cc,test_1B,2.681493636789782,2.7465366289585167,0.06504299216873477,0.8875915750915748
ubuntu_irc,test_1B,4.108484094455945,3.9330559135214953,-0.17542818093444978,0.660989010989011
hackernews,test_1B,2.3221611816054737,2.263200894764307,-0.05896028684116672,0.5690934065934066
pubmed_abstracts,test_1B,3.0290228765992704,2.9798738128328357,-0.049149063766434686,0.6399725274725273
uspto_backgrounds,test_1B,2.892322401416661,2.808261317789405,-0.08406108362725595,0.7586538461538461
