,等权 · 无质量约束,等权 · direct,等权 · direct+near,保护最差目标
arxiv,5.364167953665421,4.553570371894234,4.478504949454507,4.666995557082145
freelaw,5.0524543619315585,5.147325270440022,5.132474676692268,4.964973088078393
pubmed_central,5.014248853271199,5.019375934655752,5.075637113426831,4.814390879503762
wikipedia_en,5.860036297401443,5.929383875871778,5.862599776212494,5.646254881075849
dm_mathematics,-0.09010146768555932,0.2723879131762258,0.7282584446451128,3.750632297996568
github,4.442618623471309,4.45029854324704,4.508371043839404,4.8616500693713185
stackexchange,4.907792004198005,4.9331790141114595,4.933839100338834,4.9720041099841215
gutenberg_pg_19,5.193709901492947,5.291107114400995,5.270552056492497,5.2699040203962255
pile_cc,5.497235468916467,5.5997259553605225,5.513095233505959,5.373237708083488
ubuntu_irc,3.7587668165548735,4.521762078142309,4.4493233631935905,5.879730910506112
hackernews,4.89266545037712,5.020551750598025,5.024333995383423,4.951628536717283
pubmed_abstracts,5.5049280907193,5.571529928799017,5.581660860944946,5.275818124416805
uspto_backgrounds,5.374575882707703,5.3905199606301455,5.358329506825258,5.03423020158403
