requirement,evidence,scope
B1_classic_backbone,b7_quality_extension.json;model_coefficients.json,B1_pinned
B7_quality_extension,b7_quality_extension.json;b7_backbone_comparison.csv,semi_synthetic
Q1_quality_in_Loss,model_definition.json;quality_bridge_sensitivity.csv,uncalibrated_proxy
Q1_p_in_Loss,model_definition.json;main_policy.json,conditional_relative_bridge
B3_model_validation,b2_b3_model_validation.csv;b2_b3_validation_summary.json,interpolated_not_independent
B4_B5_direction,scale_order_validation.csv;scale_order_validation_summary.json,descriptive_no_common_Loss_coordinate
B9_B10_roles,b9_b10_support_stress.json,estimated_stress_only
N_D_quality_p_marginals,marginals_elasticities.csv;domain_pair_substitution.csv,model_internal
N_D_quality_elasticities,marginals_elasticities.csv,model_internal
domain_pair_substitution,domain_pair_substitution.csv,136_hull_directions
domain_pair_interaction,domain_pair_interaction.csv,not_causal
quality_scale_finite_and_local,quality_scale_local_tradeoff.csv,fixed_p_hypothetical_proxy_quality
migration_v7_to_v8,migration_audit.json,different_quality_coordinates
Q3_v8_interface,q3_v8_consumer_sample.json;q3_fixed_p_smoke.json,owner_acceptance_pending
cross_source_empirical_calibration,model_definition.json,unavailable
