requirement,variables,source,data_role,assumption,code,result,paper_section,status
classic_N_D,"N_B,D_B,Loss",B1,real_same_source_training,power_law_candidate,src/cyj/fit_classic_scaling.py,outputs/cyj/classic/classic_fit.json,q2.tex/B1,same_source_only
B2_or_B3_check,"N_B,D_B,Loss","B2,B3","semi_synthetic,interpolated",trajectory_shape_only,src/cyj/diagnose_b2_b3_shapes.py,outputs/cyj/diagnostics/b2_b3_shapes.json,q2.tex/attachments,shape_only
B4_and_B5_check,"N_B,D_B,Loss","B4,B5","cross_family,literature",absolute_Loss_coordinate_unproved,src/cyj/audit_b4_b5_comparability.py,outputs/cyj/diagnostics/b4_b5_comparability.json,q2.tex/attachments,within_source_direction_only
quality_B7,"N_B,D_B,Q_B,Loss",B7,semi_synthetic,fixed_Q_x_logN_logD_family,src/cyj/ndqp_scenarios_v7.py,model_coefficients.json,q2.tex/B7,conditional_same_source
mixture_p,"p,r_k,w_k",Q1_v2_derived_A,A_side_model,exp_transport_hypothesis,src/cyj/chm_q1_v2_consumer.py,policy_solutions.csv,q2_v7_tail.tex/mixture,conditional_bridge
quality_mapping,"Q_A,p,Q_B","Q1_v2_A1_mapping,B7",separate_coordinates,Q_A_screens_p_only,src/cyj/chm_q1_v2_consumer.py,quality_mapping_sensitivity.csv,q2_v7_tail.tex/quality,no_QA_to_QB_mapping
marginal_elasticity,"N_B,D_B,Q_B,p,Loss","B7,Q1_v2",derived_model,signed_derivative,src/cyj/ndqp_scenarios_v7.py,marginals_elasticities.csv,q2_v7_tail.tex/marginal,model_internal
domain_substitution_complementarity,"p,u,v,Loss",Q1_v2,derived_model,feasible_hull_directions,src/cyj/build_q2_v7.py,domain_transfer_effects.csv;domain_complementarity.csv,q2_v7_tail.tex/domain,model_internal_not_causal
quality_scale_substitution,"N_B,D_B,Q_B,Delta_Q,Loss","B7,Q1_v2",derived_model,fixed_D_p_root_in_support,src/cyj/build_q2_v7.py,quality_vs_scale.csv,q2_v7_tail.tex/substitution,model_internal
B9_B10_large_stress,"N_B,D_B,estimated_Loss","B9,B10","metadata,estimated",no_external_RMSE,src/cyj/audit_large_extrapolation.py,outputs/cyj/diagnostics/b9_b10_extrapolation_audit.json,q2.tex/attachments,out_of_support_stress_only
cross_source_empirical_test,paired_N_D_Q_B_p_Loss,unavailable,unobserved,matched_pair_design_required,none,validation_by_source.csv,q2_v7_tail.tex/validation,not_empirically_calibrated
