mixture_domain,quality_domain,mapping_type,note,mapping_weight_or_rule,mapping_confidence
arxiv,arxiv,direct,配方域名与质量信号域名一致,same-name domain median,name match only; not population identity
github,github,direct,配方域名与质量信号域名一致,same-name domain median,name match only; not population identity
stackexchange,stackexchange,direct,配方域名与质量信号域名一致,same-name domain median,name match only; not population identity
wikipedia_en,wikipedia,near_direct,名称略有差异，语义对应,proxy domain median; sensitivity required,semantic proxy
gutenberg_pg_19,book,near_direct,书籍类文本，可参考 book 域质量信号,proxy domain median; sensitivity required,semantic proxy
pile_cc,commoncrawl,near_direct,网页抓取类文本，可参考 commoncrawl 域质量信号,proxy domain median; sensitivity required,semantic proxy
dm_mathematics,(none),inferred,无同名质量域，需自行建立关联,unknown; no numeric imputation,unknown
freelaw,(none),inferred,无同名质量域，需自行建立关联,unknown; no numeric imputation,unknown
nih_exporter,(none),inferred,无同名质量域，需自行建立关联,unknown; no numeric imputation,unknown
pubmed_central,(none),inferred,无同名质量域，需自行建立关联,unknown; no numeric imputation,unknown
philpapers,(none),inferred,无同名质量域，需自行建立关联,unknown; no numeric imputation,unknown
enron_emails,(none),inferred,无同名质量域，需自行建立关联,unknown; no numeric imputation,unknown
ubuntu_irc,(none),inferred,无同名质量域，需自行建立关联,unknown; no numeric imputation,unknown
europarl,(none),inferred,无同名质量域，需自行建立关联,unknown; no numeric imputation,unknown
hackernews,(none),inferred,无同名质量域，需自行建立关联,unknown; no numeric imputation,unknown
pubmed_abstracts,(none),inferred,无同名质量域，需自行建立关联,unknown; no numeric imputation,unknown
uspto_backgrounds,(none),inferred,无同名质量域，需自行建立关联,unknown; no numeric imputation,unknown
